Institute ID,Name,City,State,Score,Rank
IR-E-C-26794,Thiagarajar College of EngineeringMore Details |  |,Madurai,Tamil Nadu,43.11,64
IR-E-U-0284,Maulana Azad National Institute of TechnologyMore Details |  |,Bhopal,Madhya Pradesh,42.17,65
IR-E-U-0795,Indian Institute of Information Technology GuwahatiMore Details |  |,Guwahati,Assam,41.92,66
IR-E-U-0092,National Institute of Technology RaipurMore Details |  |,Raipur,Chhattisgarh,41.58,67
IR-E-U-0080,Punjab Engineering College (Deemed To Be University)More Details |  |,Chandigarh,Chandigarh,41.43,68
IR-E-C-24004,College of Engineering(A)More Details |  |,Visakhapatnam,Andhra Pradesh,41.36,69
IR-E-C-1269,R. V. College of EngineeringMore Details |  |,Bengaluru,Karnataka,41.02,70
IR-E-C-33641,Veermata Jijabai Technological InstituteMore Details |  |,Mumbai,Maharashtra,40.58,71
IR-E-U-0078,Panjab UniversityMore Details |  |,Chandigarh,Chandigarh,40.44,72
IR-E-C-1262,B.M.S. College of EngineeringMore Details |  |,Bengaluru,Karnataka,40.35,73
IR-E-C-45375,Indian Institute of Food Processing Technology (IIFPT)More Details |  |,Thanjavur,Tamil Nadu,40.24,74
IR-E-U-0493,National Institute of Technology AgartalaMore Details |  |,Agratala,Tripura,39.98,75
IR-E-C-6379,Netaji Subhas University of Technology (NSUT)More Details |  |,South West,Delhi,39.97,76
IR-E-U-0620,National Institute of Technology GoaMore Details |  |,Ponda,Goa,39.93,77
IR-E-U-0201,Shri Mata Vaishno Devi UniversityMore Details |  |,Katra,Jammu and Kashmir,39.68,78
IR-E-U-0207,National Institute of Technology JamshedpurMore Details |  |,Jamshedpur,Jharkhand,39.44,79
IR-E-U-0460,Karunya Institute of Technology and SciencesMore Details |  |,Coimbatore,Tamil Nadu,39.4,80
IR-E-U-0286,Indian Institute of Information Technology Design & Manufacturing JabalpurMore Details |  |,Jabalpur,Madhya Pradesh,39.29,81
IR-E-C-36926,Kumaraguru College of TechnologyMore Details |  |,Coimbatore,Tamil Nadu,39.24,82
IR-E-C-36995,Sri Krishna College of Engineering and TechnologyMore Details |  |,Coimbatore,Tamil Nadu,38.83,83
IR-E-U-0747,Chandigarh UniversityMore Details |  |,Mohali,Punjab,38.82,84
IR-E-C-43708,College of Engineering TrivandrumMore Details |  |,Thiruvananthapuram,Kerala,38.68,85
IR-E-U-0099,Guru Gobind Singh Indraprastha UniversityMore Details |  |,New Delhi,Delhi,38.61,86
IR-E-U-0379,Lovely Professional UniversityMore Details |  |,Phagwara,Punjab,38.44,87
IR-E-C-27616,University College of EngineeringMore Details |  |,Hyderabad,Telangana,38.43,88
IR-E-U-0555,Graphic Era UniversityMore Details |  |,Dehradun,Uttarakhand,38.32,89
IR-E-C-36969,Coimbatore Institute of TechnologyMore Details |  |,Coimbatore,Tamil Nadu,38.24,90
IR-E-C-1297,Siddaganga Institute of TechnologyMore Details |  |,Tumkur,Karnataka,38.23,91
IR-E-U-0072,National Institute of Technology PatnaMore Details |  |,Patna,Bihar,38.21,92
IR-E-C-30045,C.V. Raman Global UniversityMore Details |  |,Bhubaneswar,Odisha,37.94,93
IR-E-U-0733,PES UniversityMore Details |  |,Bengaluru,Karnataka,37.94,93
IR-E-U-0489,Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and TechnologyMore Details |  |,Chennai,Tamil Nadu,37.86,95
IR-E-U-0522,Jaypee Institute of Information TechnologyMore Details |  |,Noida,Uttar Pradesh,37.8,96
IR-E-C-18154,University College of EngineeringMore Details |  |,Kakinada,Andhra Pradesh,37.77,97
IR-E-U-0189,National Institute of Technology HamirpurMore Details |  |,Hamirpur,Himachal Pradesh,37.73,98
IR-E-C-35417,Bharati Vidyapeeth Deemed University College of EngineeringMore Details |  |,Pune,Maharashtra,37.71,99
IR-E-U-0267,Atal Bihari Vajpayee Indian Institute of Information Technology and ManagementMore Details |  |,Gwalior,Madhya Pradesh,37.6,100
IR-E-C-27058,Mepco Schlenk Engineering CollegeMore Details |  |,Sivakasi,Tamil Nadu,37.52,101
IR-E-U-0507,Dayalbagh Educational InstituteMore Details |  |,Agra,Uttar Pradesh,37.51,102
IR-E-U-0516,Indian Institute of Information Technology AllahabadMore Details |  |,Prayagraj (Allahabad),Uttar Pradesh,37.41,103
IR-E-U-0382,Punjab Technical UniversityMore Details |  |,Kapurthala,Punjab,37.1,104
IR-E-C-36975,Government College of TechnologyMore Details |  |,Coimbatore,Tamil Nadu,37.1,104
IR-E-C-16626,Rajalakshmi Engineering CollegeMore Details |  |,Chennai,Tamil Nadu,37.01,106
IR-E-U-0454,Hindustan Institute of Technology and Science (HITS)More Details |  |,Chennai,Tamil Nadu,36.98,107
IR-E-C-16547,Sri Sairam Engineering CollegeMore Details |  |,Kancheepuram,Tamil Nadu,36.91,108
IR-E-C-42054,Army Institute of TechnologyMore Details |  |,Pune,Maharashtra,36.85,109
IR-E-U-0163,The Northcap UniversityMore Details |  |,Gurgaon,Haryana,36.84,110
IR-E-U-0130,Dhirubhai Ambani Institute of Information and Communication TechnologyMore Details |  |,Gandhinagar,Gujarat,36.8,111
IR-E-U-0190,Shoolini University of Biotechnology and Management SciencesMore Details |  |,Solan,Himachal Pradesh,36.72,112
