PARID,BOROCODE,BLOCK,LOT,TAXYEAR,STREET NUMBER,STREET NAME,Postcode,BLDG_CLASS,TAXCLASS,OWNER_NAME,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
1000080039,1,8,39,2021,32,PEARL STREET,10004,H3,4,"32 PEARL, LLC",MANHATTAN,40.703235,-74.012421,101,1,9,1078968,1000080039,Battery Park City-Lower Manhattan
1000080051,1,8,51,2021,6,WATER STREET,10004,H2,4,AI IV LLC,MANHATTAN,40.702744,-74.012201,101,1,9,1090472,1000080051,Battery Park City-Lower Manhattan
1000100033,1,10,33,2021,8,STONE STREET,10004,H2,4,"B.H. 8 STONE STREET AG, LLC",MANHATTAN,40.704025,-74.012638,101,1,9,1087618,1000100033,Battery Park City-Lower Manhattan
1000110029,1,11,29,2021,11,STONE STREET,10004,H2,4,"PREMIER EMERALD, LLC",MANHATTAN,40.704039,-74.012317,101,1,9,1000041,1000110029,Battery Park City-Lower Manhattan
1000161301,1,16,1301,2021,102,NORTH END AVENUE,10282,RH,4,GOLDMAN SACHS,MANHATTAN,40.714812,-74.016153,101,1,31703,1085867,1000167512,Battery Park City-Lower Manhattan
1000169002,1,16,9002,2021,2,WEST STREET,10004,RH,4,URBAN COMMONS 2 WEST IV LLC,MANHATTAN,40.705523,-74.01711,101,1,31704,1085789,1000167513,Battery Park City-Lower Manhattan
1000190024,1,19,24,2021,50,TRINITY PLACE,10006,HB,4,"TRINITY NYC HOTEL, LLC",MANHATTAN,40.707632,-74.013068,101,1,13,1000801,1000190024,Battery Park City-Lower Manhattan
1000290043,1,29,43,2021,9,SOUTH WILLIAM STREET,10004,HB,4,SOUTH WILLIAM ST ASSOC,MANHATTAN,40.704703,-74.010398,101,1,9,1000842,1000290043,Battery Park City-Lower Manhattan
1000311002,1,31,1002,2021,75,WALL STREET,10005,RH,4,"75 WALL HOTEL, LLC",MANHATTAN,40.705486,-74.007874,101,1,7,1085950,1000317501,Battery Park City-Lower Manhattan
1000370008,1,37,8,2021,110,WALL STREET,10005,H9,4,110 WALL STREET L.P.,MANHATTAN,40.704638,-74.006694,101,1,7,1000872,1000370008,Battery Park City-Lower Manhattan
1000370013,1,37,13,2021,129,FRONT STREET,10005,H3,4,129 FRONT HOTEL LLC,MANHATTAN,40.705187,-74.006369,101,1,7,1000873,1000370013,Battery Park City-Lower Manhattan
1000390038,1,39,38,2021,126,WATER STREET,10005,H3,4,"HCIN WATER STREET ASSOCIATES, LLC",MANHATTAN,40.705431,-74.007055,101,1,7,1000881,1000390038,Battery Park City-Lower Manhattan
1000390041,1,39,41,2021,120,WATER STREET,10005,HB,4,120-122 WATER STREET LLC,MANHATTAN,40.705299,-74.007242,101,1,7,1000000,1000390041,Battery Park City-Lower Manhattan
1000400016,1,40,16,2021,52,WILLIAM STREET,10005,H3,4,SCCQ DOWNTOWN LLC,MANHATTAN,40.706773,-74.009143,101,1,7,1001006,1000400016,Battery Park City-Lower Manhattan
1000410015,1,41,15,2021,60,PINE STREET,10005,H5,4,GREAT EMPIRE REALTY LLC,MANHATTAN,40.706523,-74.00826,101,1,7,1001008,1000410015,Battery Park City-Lower Manhattan
1000411302,1,41,1302,2021,66,PINE STREET,10005,RH,4,UNAVAILABLE OWNER,MANHATTAN,40.7064,-74.008043,101,1,7,1001007,1000417504,Battery Park City-Lower Manhattan
1000411303,1,41,1303,2021,66,PINE STREET,10005,RH,4,EBNB 70 PINE OWNER LLC,MANHATTAN,40.7064,-74.008043,101,1,7,1001007,1000417504,Battery Park City-Lower Manhattan
1000520008,1,52,8,2021,133,GREENWICH STREET,10006,H2,4,UNION INVESTMENT REAL ESTATE GMBH,MANHATTAN,40.709468,-74.012931,101,1,13,1089248,1000520008,Battery Park City-Lower Manhattan
1000530002,1,53,2,2021,99,WASHINGTON STREET,10006,H2,4,GOLDEN SEAHORSE LLC,MANHATTAN,40.708351,-74.014323,101,1,13,1088967,1000530002,Battery Park City-Lower Manhattan
