PARID,BOROCODE,BLOCK,LOT,TAXYEAR,STREET NUMBER,STREET NAME,Postcode,BLDG_CLASS,TAXCLASS,OWNER_NAME,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
1013191497,1,1319,1497,2021,205,EAST 45 STREET,10017,RH,4,MIDTOWN 45 VACATION OWNERSHIP PLAN,MANHATTAN,40.752531,-73.972642,106,4,90,1081175,1013197503,Turtle Bay-East Midtown
1013191498,1,1319,1498,2021,205,EAST 45 STREET,10017,RH,4,MIDTOWN 45 VACATION OWNERSHIP PLAN,MANHATTAN,40.752531,-73.972642,106,4,90,1081175,1013197503,Turtle Bay-East Midtown
1013191499,1,1319,1499,2021,205,EAST 45 STREET,10017,RH,4,MIDTOWN 45 VACATION OWNERSHIP PLAN,MANHATTAN,40.752531,-73.972642,106,4,90,1081175,1013197503,Turtle Bay-East Midtown
1013191500,1,1319,1500,2021,205,EAST 45 STREET,10017,RH,4,MIDTOWN 45 VACATION OWNERSHIP PLAN,MANHATTAN,40.752531,-73.972642,106,4,90,1081175,1013197503,Turtle Bay-East Midtown
1013191501,1,1319,1501,2021,205,EAST 45 STREET,10017,RH,4,MIDTOWN 45 VACATION OWNERSHIP PLAN,MANHATTAN,40.752531,-73.972642,106,4,90,1081175,1013197503,Turtle Bay-East Midtown
1013191502,1,1319,1502,2021,205,EAST 45 STREET,10017,RH,4,MIDTOWN 45 VACATION OWNERSHIP PLAN,MANHATTAN,40.752531,-73.972642,106,4,90,1081175,1013197503,Turtle Bay-East Midtown
1013191503,1,1319,1503,2021,205,EAST 45 STREET,10017,RH,4,MIDTOWN 45 VACATION OWNERSHIP PLAN,MANHATTAN,40.752531,-73.972642,106,4,90,1081175,1013197503,Turtle Bay-East Midtown
1013191504,1,1319,1504,2021,205,EAST 45 STREET,10017,RH,4,MIDTOWN 45 VACATION OWNERSHIP PLAN,MANHATTAN,40.752531,-73.972642,106,4,90,1081175,1013197503,Turtle Bay-East Midtown
1013240033,1,1324,33,2021,240,EAST 51 STREET,10022,H3,4,PANTA REALTY INC,MANHATTAN,40.756032,-73.969341,106,4,98,1038448,1013240033,Turtle Bay-East Midtown
1013240034,1,1324,34,2021,238,EAST 51 STREET,10022,H3,4,PANTA REALTY INC,MANHATTAN,40.756046,-73.969374,106,4,98,1038449,1013240034,Turtle Bay-East Midtown
1013250050,1,1325,50,2021,206,EAST 52 STREET,10022,H2,4,"HHLP 52ND ASSOCIATES, LLC",MANHATTAN,40.756886,-73.969424,106,4,98,1089027,1013250050,Turtle Bay-East Midtown
1013291001,1,1329,1001,2021,231,EAST 55 STREET,10022,RH,4,MARYMOUNT MANHATTANCOLLEGE,MANHATTAN,40.758615,-73.967658,106,4,108,1038578,1013297501,Turtle Bay-East Midtown
1013340005,1,1334,5,2021,304,EAST 42 STREET,10017,H2,4,TUDOR EQUITY ASSOCIA,MANHATTAN,40.749673,-73.971867,106,4,88,1038651,1013340005,Turtle Bay-East Midtown
1013370148,1,1337,148,2021,302,EAST 45 STREET,10017,HS,4,130 FG LLC,MANHATTAN,40.751583,-73.970429,106,4,90,1038768,1013370148,Turtle Bay-East Midtown
1013371101,1,1337,1101,2021,787,1 AVENUE,10017,RH,4,"RHM-88,",MANHATTAN,40.750213,-73.968846,106,4,90,1038758,1013377502,Turtle Bay-East Midtown
1013480036,1,1348,36,2021,330,EAST 56 STREET,10022,HS,4,METROPOLITAN SUTTON ASSOCIATES LLC,MANHATTAN,40.758265,-73.964925,106,5,108,1039974,1013480036,Turtle Bay-East Midtown
1013610001,1,1361,1,2021,1,MITCHELL PLACE,10017,HS,4,"BEEKMAN TOWERS HOLDINGS, LLC",MANHATTAN,40.753276,-73.966332,106,4,8603,1040076,1013610001,Turtle Bay-East Midtown
1013690042,1,1369,42,2021,410,EAST 58 STREET,10022,HS,4,417 EAST REALTY LIMITED PARTNERSHIP,MANHATTAN,40.758764,-73.96194,106,5,10601,1040554,1013690042,Turtle Bay-East Midtown
1013690107,1,1369,107,2021,415,EAST 57 STREET,10022,HS,4,CORNELL LEASING LIMITED LIABILITY COMPAN Y,MANHATTAN,40.758081,-73.962356,106,5,10601,1040558,1013690107,Turtle Bay-East Midtown
1013730160,1,1373,160,2021,22,NORTH LOOP ROAD,10044,H2,4,UNAVAILABLE OWNER,MANHATTAN,40.756222,-73.955116,108,5,23801,1000000,1013730035,Lenox Hill-Roosevelt Island
1013740065,1,1374,65,2021,4,EAST 60 STREET,10022,H5,4,NEW YORK TELEPHONE CO,MANHATTAN,40.76472,-73.97216,108,4,11401,1040764,1013740065,Upper East Side-Carnegie Hill
1013750001,1,1375,1,2021,790,5 AVENUE,10065,H5,4,THE METROPOLITAN CLUB INC,MANHATTAN,40.764986,-73.972474,108,4,11401,1081206,1013750001,Upper East Side-Carnegie Hill
1013750067,1,1375,67,2021,797,5 AVENUE,10065,H7,4,795 FIFTH AVE CORP,MANHATTAN,40.765313,-73.972236,108,4,11401,1040809,1013750067,Upper East Side-Carnegie Hill
1013760036,1,1376,36,2021,540,PARK AVENUE,10065,H1,4,61 ST PARK AVE CORP,MANHATTAN,40.764308,-73.968796,108,4,11401,1040855,1013760036,Upper East Side-Carnegie Hill
1013760046,1,1376,46,2021,36,EAST 62 STREET,10065,H5,4,THE LINKS,MANHATTAN,40.765326,-73.969727,108,4,11401,1040859,1013760046,Upper East Side-Carnegie Hill
1013760069,1,1376,69,2021,805,5 AVENUE,10065,H5,4,KNICKERBOCKER CLUB INC,MANHATTAN,40.765826,-73.971864,108,4,11401,1040868,1013760069,Upper East Side-Carnegie Hill
1013770033,1,1377,33,2021,560,PARK AVENUE,10065,H5,4,COLONY CLUB INC,MANHATTAN,40.764941,-73.968333,108,4,11401,1040899,1013770033,Upper East Side-Carnegie Hill
1013770047,1,1377,47,2021,28,EAST 63 STREET,10065,H1,4,LOWELL HOTEL PROPERT,MANHATTAN,40.765976,-73.969336,108,4,11401,1040906,1013770047,Upper East Side-Carnegie Hill
1013780130,1,1378,130,2021,41,EAST 63 STREET,10065,H5,4,THE LEASH CP,MANHATTAN,40.765905,-73.96912,108,4,122,1041060,1013780130,Upper East Side-Carnegie Hill
1013790026,1,1379,26,2021,37,EAST 64 STREET,10065,H1,4,PLAZA ATHENEE HOTELCOMPANY LIMITED,MANHATTAN,40.76658,-73.96878,108,4,122,1041080,1013790026,Upper East Side-Carnegie Hill
1013810008,1,1381,8,2021,5,EAST 66 STREET,10065,H5,4,LOTOS CLUB INC,MANHATTAN,40.768491,-73.969429,108,4,122,1041161,1013810008,Upper East Side-Carnegie Hill
1013820012,1,1382,12,2021,15,EAST 67 STREET,10065,H5,4,REGENCY WHIST CLUB INC,MANHATTAN,40.768902,-73.968461,108,4,122,1041205,1013820012,Upper East Side-Carnegie Hill
1013840042,1,1384,42,2021,46,EAST 70 STREET,10021,H5,4,THE EXPLORERS CLUB,MANHATTAN,40.77026,-73.965898,108,4,122,1041311,1013840042,Upper East Side-Carnegie Hill
1013900057,1,1390,57,2021,20,EAST 76 STREET,10021,H1,4,SURREY ASSOCIATES,MANHATTAN,40.774549,-73.964003,108,4,130,1041706,1013900057,Upper East Side-Carnegie Hill
1013910021,1,1391,21,2021,981,MADISON AVENUE,10075,H1,4,HOTEL CARLYLE OWNERS CORP,MANHATTAN,40.774626,-73.96335,108,4,130,1041797,1013910021,Upper East Side-Carnegie Hill
