PLAYER,NATIONALITY,TYPE,PRICE,SOLD/UNSOLD,TEAM,YEAR
Mohit Sharma,Indian,Bowler,5000000,UNSOLD,NONE,2021
Oshane Thomas,Overseas,Bowler,5000000,UNSOLD,NONE,2021
Colin De Grandhomme,Overseas,All-Rounder,5000000,UNSOLD,NONE,2021
Thisara Perera,Overseas,All-Rounder,5000000,UNSOLD,NONE,2021
Mohammad Shaifuddin,Overseas,All-Rounder,5000000,UNSOLD,NONE,2021
Ben Duckett,Overseas,Wicket Keeper,5000000,UNSOLD,NONE,2021
Rahmanullah Gurbaz,Overseas,Wicket Keeper,5000000,UNSOLD,NONE,2021
Ben McDermott,Overseas,Wicket Keeper,5000000,UNSOLD,NONE,2021
Sean Abbott,Overseas,Bowler,5000000,UNSOLD,NONE,2021
Matt Henry,Overseas,Bowler,5000000,UNSOLD,NONE,2021
Chemar Holder,Overseas,Bowler,5000000,UNSOLD,NONE,2021
Alzarri Joseph,Overseas,Bowler,5000000,UNSOLD,NONE,2021
Obed McCoy,Overseas,Bowler,5000000,UNSOLD,NONE,2021
Wanindu Hasaranga,Overseas,All-Rounder,5000000,UNSOLD,NONE,2021
Karim Janat,Overseas,All-Rounder,5000000,UNSOLD,NONE,2021
Scott Kuggeleijn,Overseas,All-Rounder,5000000,UNSOLD,NONE,2021
Wayne Parnell,Overseas,All-Rounder,5000000,UNSOLD,NONE,2021
Beuran Hendricks,Overseas,Bowler,5000000,UNSOLD,NONE,2021
Abhimanyu Mithun,Indian,Bowler,5000000,UNSOLD,NONE,2021
Reece Topley,Overseas,Bowler,5000000,UNSOLD,NONE,2021
Hardus Viljoen,Overseas,Bowler,5000000,UNSOLD,NONE,2021
Neil Wagner,Overseas,Bowler,5000000,UNSOLD,NONE,2021
Mark Steketee,Overseas,Bowler,4000000,UNSOLD,NONE,2021
Sandeep Lamichhane,Overseas,Bowler,4000000,UNSOLD,NONE,2021
Ali Khan,Overseas,Bowler,4000000,UNSOLD,NONE,2021
Brendan Doggett,Overseas,Bowler,4000000,UNSOLD,NONE,2021
Fazalhaq Farooqi,Overseas,Bowler,4000000,UNSOLD,NONE,2021
Ankit Singh Rajpoot,Overseas,Bowler,3000000,UNSOLD,NONE,2021
Ben Dwarshuis,Overseas,Bowler,3000000,UNSOLD,NONE,2021
Chris Green,Overseas,All-Rounder,3000000,UNSOLD,NONE,2021
Jayden Seales,Overseas,Bowler,2000000,UNSOLD,NONE,2021
Tanveer Ul haq,Overseas,Bowler,2000000,UNSOLD,NONE,2021
Subodh Bhati,Indian,All-Rounder,2000000,UNSOLD,NONE,2021
Aamir Gani,Indian,All-Rounder,2000000,UNSOLD,NONE,2021
Karanveer Kaushal,Indian,All-Rounder,2000000,UNSOLD,NONE,2021
Anustup Majumdar,Indian,All-Rounder,2000000,UNSOLD,NONE,2021
Dikshanshu Negi,Indian,All-Rounder,2000000,UNSOLD,NONE,2021
Kshitiz Sharma,Indian,All-Rounder,2000000,UNSOLD,NONE,2021
Shubham Singh Rohilla,Indian,All-Rounder,2000000,UNSOLD,NONE,2021
Shashank Singh,Indian,All-Rounder,2000000,UNSOLD,NONE,2021
Milind Tandon,Indian,All-Rounder,2000000,UNSOLD,NONE,2021
Sandeep Bavanaka,Indian,All-Rounder,2000000,UNSOLD,NONE,2021
Chaitanya Bishnoi,Indian,All-Rounder,2000000,UNSOLD,NONE,2021
Arun Chaprana,Indian,All-Rounder,2000000,UNSOLD,NONE,2021
Ajay Dev Goud,Indian,All-Rounder,2000000,UNSOLD,NONE,2021
Umran Malik,Indian,All-Rounder,2000000,UNSOLD,NONE,2021
Tanay Thyagarajan,Indian,All-Rounder,2000000,UNSOLD,NONE,2021
N.Tilak Varma,Indian,All-Rounder,2000000,UNSOLD,NONE,2021
Arshdeep Brar,Indian,All-Rounder,2000000,UNSOLD,NONE,2021
Digvijay Deshmukh,Indian,All-Rounder,2000000,UNSOLD,NONE,2021
Aakarshit Gomel,Indian,All-Rounder,2000000,UNSOLD,NONE,2021
Arjit Gupta,Indian,All-Rounder,2000000,UNSOLD,NONE,2021
Shubhang Hegde,Indian,All-Rounder,2000000,UNSOLD,NONE,2021
Azim Kazi,Indian,All-Rounder,2000000,UNSOLD,NONE,2021
Rahul Singh,Indian,All-Rounder,2000000,UNSOLD,NONE,2021
Rahul Ajay Tripathy,Indian,All-Rounder,2000000,UNSOLD,NONE,2021
Harsh Tyagi,Indian,All-Rounder,2000000,UNSOLD,NONE,2021
Nachiket Bhute,Indian,All-Rounder,2000000,UNSOLD,NONE,2021
Josh Clarkson,Overseas,All-Rounder,2000000,UNSOLD,NONE,2021
Gerald Coetzee,Overseas,All-Rounder,2000000,UNSOLD,NONE,2021
Tim David,Overseas,All-Rounder,2000000,UNSOLD,NONE,2021
Deeparaj Gaonkar,Indian,All-Rounder,2000000,UNSOLD,NONE,2021
Aaron Hardie,Overseas,All-Rounder,2000000,UNSOLD,NONE,2021
Nathan McAndrew,Overseas,All-Rounder,2000000,UNSOLD,NONE,2021
M Mohammed,Indian,All-Rounder,2000000,UNSOLD,NONE,2021
Rahul Gahlaut,Indian,Batsman,2000000,UNSOLD,NONE,2021
Govinda Poddar,Indian,All-Rounder,2000000,UNSOLD,NONE,2021
Pratyush Singh,Indian,All-Rounder,2000000,UNSOLD,NONE,2021
Himanshu Rana,Indian,Batsman,2000000,UNSOLD,NONE,2021
Himmat Singh,Indian,Batsman,2000000,UNSOLD,NONE,2021
Vishnu Solanki,Indian,Batsman,2000000,UNSOLD,NONE,2021
Sadiq Hassan Kirmani,Indian,Wicket Keeper,2000000,UNSOLD,NONE,2021
Ayush Badoni,Indian,All-Rounder,2000000,UNSOLD,NONE,2021
Cheepurupalli Stephen,Indian,Bowler,2000000,UNSOLD,NONE,2021
Nidheesh M D Dinesan,Indian,Bowler,2000000,UNSOLD,NONE,2021
Atit Sheth,Indian,All-Rounder,2000000,UNSOLD,NONE,2021
Vivek Singh,Indian,All-Rounder,2000000,UNSOLD,NONE,2021
Avi Barot,Indian,Wicket Keeper,2000000,UNSOLD,NONE,2021
Armaan Jaffer,Indian,Batsman,2000000,UNSOLD,NONE,2021
Kedar Devdhar,Indian,Wicket Keeper,2000000,UNSOLD,NONE,2021
Tejas Singh Baroka,Indian,Bowler,2000000,UNSOLD,NONE,2021
Apoorv Vijay Wankhade,Indian,Batsman,2000000,UNSOLD,NONE,2021
Tushar Deshpande,Indian,Bowler,2000000,UNSOLD,NONE,2021
Prathamesh Ganesh Dake,Indian,Bowler,2000000,UNSOLD,NONE,2021
Jay Gokul Bista,Indian,All-Rounder,2000000,UNSOLD,NONE,2021
T Ravi Teja,Indian,All-Rounder,2000000,UNSOLD,NONE,2021
Kuldeep Sen,Indian,Bowler,2000000,UNSOLD,NONE,2021
Anirudha Ashok Joshi,Indian,All-Rounder,2000000,UNSOLD,NONE,2021
Mujtaba Yousuf,Indian,Bowler,2000000,UNSOLD,NONE,2021
Pradeep Sahu,Indian,Bowler,2000000,UNSOLD,NONE,2021
Prayas Ray Barman,Indian,All-Rounder,2000000,UNSOLD,NONE,2021
Siddhesh Dinesh Lad,Indian,Batsman,2000000,UNSOLD,NONE,2021
Karanveer Singh,Indian,Bowler,2000000,UNSOLD,NONE,2021
Midhun Sudhesan,Indian,Bowler,2000000,UNSOLD,NONE,2021
Nikhil Shankar Naik,Indian,Wicket Keeper,2000000,UNSOLD,NONE,2021
Prithvi Raj Yarra,Indian,Bowler,2000000,UNSOLD,NONE,2021
Noor Ahmad,Overseas,Bowler,2000000,UNSOLD,NONE,2021
Xavier Bartlett,Overseas,Bowler,2000000,UNSOLD,NONE,2021
Rohit Damodaran,Indian,All-Rounder,2000000,UNSOLD,NONE,2021
Jiyas K,Indian,Bowler,2000000,UNSOLD,NONE,2021
Mayank Dagar,Indian,All-Rounder,2000000,UNSOLD,NONE,2021
Ashok Menaria,Indian,All-Rounder,2000000,UNSOLD,NONE,2021
Finn Allen,Overseas,Batsman,2000000,UNSOLD,NONE,2021
Harpreet Bhatia,Indian,Batsman,2000000,UNSOLD,NONE,2021
Shivam Chauhan,Overseas,Batsman,2000000,UNSOLD,NONE,2021
Naushad Shaikh,Indian,Batsman,2000000,UNSOLD,NONE,2021
Pratham Singh,Indian,Batsman,2000000,UNSOLD,NONE,2021
Atharva Ankolekar,Indian,All-Rounder,2000000,UNSOLD,NONE,2021
Rojith Ganesh,Indian,All-Rounder,2000000,UNSOLD,NONE,2021
Sumit Kumar,Indian,All-Rounder,2000000,UNSOLD,NONE,2021
Akshdeep Nath,Indian,All-Rounder,2000000,UNSOLD,NONE,2021
Pradeep Sangwan,Indian,All-Rounder,2000000,UNSOLD,NONE,2021
Karan Sharma,Indian,All-Rounder,2000000,UNSOLD,NONE,2021
R. Sonu Yadav,Indian,All-Rounder,2000000,UNSOLD,NONE,2021
Dhruv Jurel,Indian,Wicket Keeper,2000000,UNSOLD,NONE,2021
Arun Karthick,Indian,Wicket Keeper,2000000,UNSOLD,NONE,2021
Smit Patel,Indian,Wicket Keeper,2000000,UNSOLD,NONE,2021
K.L Shrijith,Indian,Wicket Keeper,2000000,UNSOLD,NONE,2021
Wesley Agar,Overseas,Bowler,2000000,UNSOLD,NONE,2021
Akash Deep,Indian,Bowler,2000000,UNSOLD,NONE,2021
Kulwant Khejroliya,Indian,Bowler,2000000,UNSOLD,NONE,2021
Arzan Nagwaswalla,Indian,Bowler,2000000,UNSOLD,NONE,2021
G Periyasamy,Indian,Bowler,2000000,UNSOLD,NONE,2021
Karthik Meiyappan,Indian,Bowler,2000000,UNSOLD,NONE,2021
Prince Balwant Rai Singh,Indian,Bowler,2000000,UNSOLD,NONE,2021
Sagar Udeshi,Indian,Bowler,2000000,UNSOLD,NONE,2021
Kushaal Wadhwani,Indian,Bowler,2000000,UNSOLD,NONE,2021
Akshay Wakhare,Indian,Bowler,2000000,UNSOLD,NONE,2021
Rajesh Bishnoi,Indian,Batsman,2000000,UNSOLD,NONE,2021
Abhimanyu Easwaran,Indian,Batsman,2000000,UNSOLD,NONE,2021
Rohan Kadam,Indian,Batsman,2000000,UNSOLD,NONE,2021
Amandeep Khare,Indian,Batsman,2000000,UNSOLD,NONE,2021
Mohammed Taha,Indian,Batsman,2000000,UNSOLD,NONE,2021
Tajinder Dhillon,Indian,All-Rounder,2000000,UNSOLD,NONE,2021
Pankaj Jaswal,Indian,All-Rounder,2000000,UNSOLD,NONE,2021
Khrievitso Kense,Indian,All-Rounder,2000000,UNSOLD,NONE,2021
Prerak Mankad,Indian,All-Rounder,2000000,UNSOLD,NONE,2021
Shams Mulani,Indian,All-Rounder,2000000,UNSOLD,NONE,2021
Ansh Patel,Indian,All-Rounder,2000000,UNSOLD,NONE,2021
Parth Sahani,Indian,All-Rounder,2000000,UNSOLD,NONE,2021
Ankit Sharma,Indian,All-Rounder,2000000,UNSOLD,NONE,2021
Dhruv Shorey,Indian,All-Rounder,2000000,UNSOLD,NONE,2021
Josh Inglis,Overseas,Wicket Keeper,2000000,UNSOLD,NONE,2021
Aryan Juyal,Indian,Wicket Keeper,2000000,UNSOLD,NONE,2021
Rohit Sharma,Indian,Wicket Keeper,2000000,UNSOLD,NONE,2021
Sandeep Kumar Tomar,Indian,Wicket Keeper,2000000,UNSOLD,NONE,2021
Aniket Choudhary,Indian,Bowler,2000000,UNSOLD,NONE,2021
Mukesh Choudhary,Indian,Bowler,2000000,UNSOLD,NONE,2021
Nathan Ellis,Overseas,Bowler,2000000,UNSOLD,NONE,2021
Sayan Ghosh,Indian,Bowler,2000000,UNSOLD,NONE,2021
Ronit More,Indian,Bowler,2000000,UNSOLD,NONE,2021
Simarjeet Singh,Indian,Bowler,2000000,UNSOLD,NONE,2021
Zeeshan Ansari,Indian,Bowler,2000000,UNSOLD,NONE,2021
Nayan Doshi,Indian,Bowler,2000000,UNSOLD,NONE,2021
Jon Russ Jaggesar,Overseas,Bowler,2000000,UNSOLD,NONE,2021
Kevin Koththigoda,Overseas,Bowler,2000000,UNSOLD,NONE,2021
Tanveer Sangha,Indian,Bowler,2000000,UNSOLD,NONE,2021
Maheesh Theekshan,Overseas,Bowler,2000000,UNSOLD,NONE,2021
Vijayakanth Viyaskanth,Overseas,Bowler,2000000,UNSOLD,NONE,2021
Max Bryant,Overseas,Batsman,2000000,UNSOLD,NONE,2021
Saahil Jain,Indian,Batsman,2000000,UNSOLD,NONE,2021
Subhranshu Senapati,Indian,Batsman,2000000,UNSOLD,NONE,2021
Ravi Thakur,Indian,Batsman,2000000,UNSOLD,NONE,2021
Jake Weatherald,Overseas,Batsman,2000000,UNSOLD,NONE,2021
Shubham Agrawal,Indian,All-Rounder,2000000,UNSOLD,NONE,2021
Rajjakuddin Ahmed,Indian,All-Rounder,2000000,UNSOLD,NONE,2021
Baba Aparajith,Indian,All-Rounder,2000000,UNSOLD,NONE,2021
George Garton,Overseas,All-Rounder,2000000,UNSOLD,NONE,2021
Kartik Kakade,Indian,All-Rounder,2000000,UNSOLD,NONE,2021
Shoaib Khan,Indian,All-Rounder,2000000,UNSOLD,NONE,2021
Dhruv Patel,Indian,All-Rounder,2000000,UNSOLD,NONE,2021
Varun Choudhary,Indian,Bowler,2000000,UNSOLD,NONE,2021
Baltej Dhanda,Indian,Bowler,2000000,UNSOLD,NONE,2021
Saurabh Dubey,Indian,Bowler,2000000,UNSOLD,NONE,2021
Matt Kelly,Overseas,Bowler,2000000,UNSOLD,NONE,2021
Chama Milind,Indian,Bowler,2000000,UNSOLD,NONE,2021
Piyush Chawla,Indian,Bowler,67500000,SOLD,Chennai Super Kings,2020
Sam Curran,Overseas,All-Rounder,55000000,SOLD,Chennai Super Kings,2020
Josh Hazlewood,Overseas,Bowler,20000000,SOLD,Chennai Super Kings,2020
R. Sai Kishore,Indian,Bowler,2000000,SOLD,Chennai Super Kings,2020
Shimron Hetmyer,Overseas,Batsman,77500000,SOLD,Delhi Capitals,2020
Marcus Stoinis,Overseas,All-Rounder,48000000,SOLD,Delhi Capitals,2020
Alex Carey,Overseas,Wicket Keeper,24000000,SOLD,Delhi Capitals,2020
Jason Roy,Overseas,Batsman,15000000,SOLD,Delhi Capitals,2020
Chris Woakes,Overseas,All-Rounder,15000000,SOLD,Delhi Capitals,2020
Mohit Sharma,Indian,Bowler,5000000,SOLD,Delhi Capitals,2020
Tushar Deshpande,Indian,Bowler,2000000,SOLD,Delhi Capitals,2020
Lalit Yadav,Indian,All-Rounder,2000000,SOLD,Delhi Capitals,2020
Glenn Maxwell,Overseas,All-Rounder,107500000,SOLD,Kings XI Punjab,2020
Sheldon Cottrell,Overseas,Bowler,85000000,SOLD,Kings XI Punjab,2020
Chris Jordan,Overseas,All-Rounder,30000000,SOLD,Kings XI Punjab,2020
Ravi Bishnoi,Indian,Bowler,20000000,SOLD,Kings XI Punjab,2020
Prabhsimran Singh,Indian,Wicket Keeper,5500000,SOLD,Kings XI Punjab,2020
Deepak Hooda,Indian,All-Rounder,5000000,SOLD,Kings XI Punjab,2020
James Neesham,Overseas,All-Rounder,5000000,SOLD,Kings XI Punjab,2020
Tajinder Dhillon,Indian,All-Rounder,2000000,SOLD,Kings XI Punjab,2020
Ishan Porel,Indian,Bowler,2000000,SOLD,Kings XI Punjab,2020
Pat Cummins,Overseas,All-Rounder,155000000,SOLD,Kolkata Knight Riders,2020
Eoin Morgan,Overseas,Batsman,52500000,SOLD,Kolkata Knight Riders,2020
Varun Chakaravarthy,Indian,All-Rounder,40000000,SOLD,Kolkata Knight Riders,2020
Tom Banton,Overseas,Batsman,10000000,SOLD,Kolkata Knight Riders,2020
Rahul Tripathi,Indian,Batsman,6000000,SOLD,Kolkata Knight Riders,2020
Chris Green,Overseas,All-Rounder,2000000,SOLD,Kolkata Knight Riders,2020
Nikhil Shankar Naik,Indian,Wicket Keeper,2000000,SOLD,Kolkata Knight Riders,2020
Pravin Tambe,Indian,Bowler,2000000,SOLD,Kolkata Knight Riders,2020
M Siddharth,Indian,Bowler,2000000,SOLD,Kolkata Knight Riders,2020
Nathan Coulter-Nile,Overseas,Bowler,80000000,SOLD,Mumbai Indians,2020
Chris Lynn,Overseas,Batsman,20000000,SOLD,Mumbai Indians,2020
Saurabh Tiwary,Indian,Batsman,5000000,SOLD,Mumbai Indians,2020
Digvijay Deshmukh,Indian,All-Rounder,2000000,SOLD,Mumbai Indians,2020
Prince Balwant Rai Singh,Indian,All-Rounder,2000000,SOLD,Mumbai Indians,2020
Mohsin Khan,Indian,Bowler,2000000,SOLD,Mumbai Indians,2020
Robin Uthappa,Indian,Batsman,30000000,SOLD,Rajasthan Royals,2020
Jaydev Unadkat,Indian,Bowler,30000000,SOLD,Rajasthan Royals,2020
Yashasvi Jaiswal,Indian,All-Rounder,24000000,SOLD,Rajasthan Royals,2020
Kartik Tyagi,Indian,Bowler,13000000,SOLD,Rajasthan Royals,2020
Tom Curran,Overseas,All-Rounder,10000000,SOLD,Rajasthan Royals,2020
Andrew Tye,Overseas,Bowler,10000000,SOLD,Rajasthan Royals,2020
Anuj Rawat,Indian,Wicket Keeper,8000000,SOLD,Rajasthan Royals,2020
David Miller,Overseas,Batsman,7500000,SOLD,Rajasthan Royals,2020
Oshane Thomas,Overseas,Bowler,5000000,SOLD,Rajasthan Royals,2020
Anirudha Ashok Joshi,Indian,All-Rounder,2000000,SOLD,Rajasthan Royals,2020
Akash Singh,Indian,Bowler,2000000,SOLD,Rajasthan Royals,2020
Christopher Morris,Overseas,All-Rounder,100000000,SOLD,Royal Challengers Bangalore,2020
Aaron Finch,Overseas,Batsman,44000000,SOLD,Royal Challengers Bangalore,2020
Kane Richardson,Overseas,Bowler,40000000,SOLD,Royal Challengers Bangalore,2020
Dale Steyn,Overseas,Bowler,20000000,SOLD,Royal Challengers Bangalore,2020
Isuru Udana,Overseas,All-Rounder,5000000,SOLD,Royal Challengers Bangalore,2020
Shahbaz Ahamad,Indian,Wicket Keeper,2000000,SOLD,Royal Challengers Bangalore,2020
Joshua Philippe,Overseas,Wicket Keeper,2000000,SOLD,Royal Challengers Bangalore,2020
Pavan Deshpande,Indian,All-Rounder,2000000,SOLD,Royal Challengers Bangalore,2020
Mitchell Marsh,Overseas,All-Rounder,20000000,SOLD,Sunrisers Hyderabad,2020
Priyam Garg,Indian,Batsman,19000000,SOLD,Sunrisers Hyderabad,2020
Virat Singh,Indian,Batsman,19000000,SOLD,Sunrisers Hyderabad,2020
Fabian Allen,Overseas,All-Rounder,5000000,SOLD,Sunrisers Hyderabad,2020
Sandeep Bavanaka,Indian,All-Rounder,2000000,SOLD,Sunrisers Hyderabad,2020
Sanjay Yadav,Indian,All-Rounder,2000000,SOLD,Sunrisers Hyderabad,2020
Abdul Samad,Indian,All-Rounder,2000000,SOLD,Sunrisers Hyderabad,2020
Adam Zampa,Overseas,Bowler,15000000,UNSOLD,NONE,2020
Vinay Kumar,Indian,Bowler,10000000,UNSOLD,NONE,2020
James Pattinson,Overseas,Bowler,10000000,UNSOLD,NONE,2020
Liam Plunkett,Overseas,Bowler,10000000,UNSOLD,NONE,2020
Martin Guptill,Overseas,Batsman,10000000,UNSOLD,NONE,2020
Evin Lewis,Overseas,Batsman,10000000,UNSOLD,NONE,2020
Yusuf Pathan,Indian,All-Rounder,10000000,UNSOLD,NONE,2020
Colin Munro,Overseas,All-Rounder,10000000,UNSOLD,NONE,2020
Mustafizur Rahman,Overseas,Bowler,10000000,UNSOLD,NONE,2020
Tim Southee,Overseas,Bowler,10000000,UNSOLD,NONE,2020
Jason Holder,Overseas,All-Rounder,7500000,UNSOLD,NONE,2020
Colin De Grandhomme,Overseas,All-Rounder,7500000,UNSOLD,NONE,2020
Ben Cutting,Overseas,All-Rounder,7500000,UNSOLD,NONE,2020
Sean Abbott,Overseas,Bowler,7500000,UNSOLD,NONE,2020
Mushfiqur Rahim,Overseas,Wicket Keeper,7500000,UNSOLD,NONE,2020
Ish Sodhi,Overseas,Bowler,7500000,UNSOLD,NONE,2020
Kesrick Williams,Overseas,Bowler,5000000,UNSOLD,NONE,2020
Colin Ingram,Overseas,Batsman,5000000,UNSOLD,NONE,2020
Cheteshwar Pujara,Indian,Batsman,5000000,UNSOLD,NONE,2020
Hanuma Vihari,Indian,Batsman,5000000,UNSOLD,NONE,2020
Stuart Binny,Overseas,All-Rounder,5000000,UNSOLD,NONE,2020
Manoj Tiwary,Indian,Batsman,5000000,UNSOLD,NONE,2020
Carlos Brathwaite,Overseas,All-Rounder,5000000,UNSOLD,NONE,2020
Adam Milne,Overseas,Bowler,5000000,UNSOLD,NONE,2020
Rishi Dhawan,Indian,All-Rounder,5000000,UNSOLD,NONE,2020
Shai Hope,Overseas,Wicket Keeper,5000000,UNSOLD,NONE,2020
Heinrich Klaasen,Overseas,Wicket Keeper,5000000,UNSOLD,NONE,2020
Anrich Nortje,Overseas,Bowler,5000000,UNSOLD,NONE,2020
Naman Ojha,Indian,Wicket Keeper,5000000,UNSOLD,NONE,2020
Kusal Janith Perera,Overseas,Wicket Keeper,5000000,UNSOLD,NONE,2020
Andile Phehlukwayo,Overseas,All-Rounder,5000000,UNSOLD,NONE,2020
Barinder Singh Sran,Indian,Bowler,5000000,UNSOLD,NONE,2020
Mark Wood,Overseas,Bowler,5000000,UNSOLD,NONE,2020
Matt Henry,Overseas,Bowler,5000000,UNSOLD,NONE,2020
Alzarri Joseph,Overseas,Bowler,5000000,UNSOLD,NONE,2020
Zahir Khan Pakteen,Overseas,Bowler,5000000,UNSOLD,NONE,2020
Hayden Walsh,Overseas,Bowler,5000000,UNSOLD,NONE,2020
Riley Meredith,Overseas,Bowler,4000000,UNSOLD,NONE,2020
Noor Ahmad,Overseas,Bowler,3000000,UNSOLD,NONE,2020
Pravin Dubey,Indian,All-Rounder,2000000,UNSOLD,NONE,2020
Shams Mulani,Indian,All-Rounder,2000000,UNSOLD,NONE,2020
Sumit Kumar,Indian,All-Rounder,2000000,UNSOLD,NONE,2020
Aryan Juyal,Indian,Wicket Keeper,2000000,UNSOLD,NONE,2020
Lalit Yadav,Indian,Bowler,2000000,UNSOLD,NONE,2020
Kuldeep Sen,Indian,Bowler,2000000,UNSOLD,NONE,2020
Harpreet Bhatia,Indian,Batsman,2000000,UNSOLD,NONE,2020
Rohan Kadam,Indian,Batsman,2000000,UNSOLD,NONE,2020
Manjot Kalra,Indian,Batsman,2000000,UNSOLD,NONE,2020
Shahrukh Khan,Indian,All-Rounder,2000000,UNSOLD,NONE,2020
George Garton,Overseas,All-Rounder,2000000,UNSOLD,NONE,2020
Daniel Sams,Overseas,All-Rounder,2000000,UNSOLD,NONE,2020
Rahul Shukla,Indian,Bowler,2000000,UNSOLD,NONE,2020
Ankush Bains,Indian,Wicket Keeper,2000000,UNSOLD,NONE,2020
Kona Srikar Bharat,Indian,Wicket Keeper,2000000,UNSOLD,NONE,2020
Yudhvir Charak,Indian,All-Rounder,2000000,UNSOLD,NONE,2020
Kedar Devdhar,Indian,Wicket Keeper,2000000,UNSOLD,NONE,2020
Vishnu Vinod,Indian,Wicket Keeper,2000000,UNSOLD,NONE,2020
Sujit Nayak,Indian,All-Rounder,2000000,UNSOLD,NONE,2020
Nathan Ellis,Overseas,Bowler,2000000,UNSOLD,NONE,2020
Vaibhav Arora,Indian,Bowler,2000000,UNSOLD,NONE,2020
Saurabh Dubey,Indian,Bowler,2000000,UNSOLD,NONE,2020
Kulwant Khejroliya,Indian,Bowler,2000000,UNSOLD,NONE,2020
K.C Cariappa,Indian,Bowler,2000000,UNSOLD,NONE,2020
Midhun Sudhesan,Indian,All-Rounder,2000000,UNSOLD,NONE,2020
Ayush Badoni,Indian,All-Rounder,2000000,UNSOLD,NONE,2020
Angelo Mathews,Overseas,All-Rounder,20000000,UNSOLD,NONE,2020
Kyle Abbott,Overseas,Bowler,15000000,UNSOLD,NONE,2020
Shaun Marsh,Overseas,Batsman,15000000,UNSOLD,NONE,2020
David Willey,Overseas,All-Rounder,15000000,UNSOLD,NONE,2020
Matthew Wade,Overseas,Wicket Keeper,10000000,UNSOLD,NONE,2020
Ashton Agar,Overseas,All-Rounder,10000000,UNSOLD,NONE,2020
Moises Henriques,Overseas,All-Rounder,10000000,UNSOLD,NONE,2020
D'Arcy Short,Overseas,All-Rounder,10000000,UNSOLD,NONE,2020
Alex Hales,Overseas,Batsman,10000000,UNSOLD,NONE,2020
Rilee Rossouw,Overseas,Batsman,10000000,UNSOLD,NONE,2020
Thisara Perera,Overseas,All-Rounder,10000000,UNSOLD,NONE,2020
Ashton Turner,Overseas,All-Rounder,7500000,UNSOLD,NONE,2020
Saqib Mahmood,Overseas,Bowler,7500000,UNSOLD,NONE,2020
Lendl Simmons,Overseas,Batsman,7500000,UNSOLD,NONE,2020
David Wiese,Overseas,All-Rounder,7500000,UNSOLD,NONE,2020
Marchant De Lange,Overseas,Bowler,7500000,UNSOLD,NONE,2020
Corey Anderson,Overseas,All-Rounder,7500000,UNSOLD,NONE,2020
Dan Christian,Overseas,All-Rounder,7500000,UNSOLD,NONE,2020
Mohammad Mahmudullah,Overseas,All-Rounder,7500000,UNSOLD,NONE,2020
Wiaan Mulder,Overseas,All-Rounder,5000000,UNSOLD,NONE,2020
Dasun Shanaka,Overseas,All-Rounder,5000000,UNSOLD,NONE,2020
Jon-Jon Trevor Smuts,Overseas,All-Rounder,5000000,UNSOLD,NONE,2020
Ashoke Dinda,Indian,Bowler,5000000,UNSOLD,NONE,2020
Dushmantha Chameera,Overseas,Bowler,5000000,UNSOLD,NONE,2020
Obed McCoy,Overseas,Bowler,5000000,UNSOLD,NONE,2020
Tom Bruce,Overseas,Batsman,5000000,UNSOLD,NONE,2020
Oshada Fernando,Overseas,Batsman,5000000,UNSOLD,NONE,2020
Avishka Fernando,Overseas,Batsman,5000000,UNSOLD,NONE,2020
Brandon King,Overseas,Batsman,5000000,UNSOLD,NONE,2020
Rassie Van der Dussen,Overseas,Batsman,5000000,UNSOLD,NONE,2020
James Faulkner,Overseas,All-Rounder,5000000,UNSOLD,NONE,2020
Lewis Greogry,Overseas,All-Rounder,5000000,UNSOLD,NONE,2020
Scott Kuggeleijn,Overseas,All-Rounder,5000000,UNSOLD,NONE,2020
Romario Shepherd,Overseas,All-Rounder,5000000,UNSOLD,NONE,2020
Nuwan Pradeep,Indian,Bowler,5000000,UNSOLD,NONE,2020
Blair Tickner,Overseas,Bowler,5000000,UNSOLD,NONE,2020
Karim Janat,Overseas,All-Rounder,5000000,UNSOLD,NONE,2020
Doug Bracewell,Overseas,Bowler,5000000,UNSOLD,NONE,2020
Ben Laughlin,Overseas,Bowler,5000000,UNSOLD,NONE,2020
Tymal Mills,Overseas,Bowler,5000000,UNSOLD,NONE,2020
Janneman Malan,Overseas,Batsman,5000000,UNSOLD,NONE,2020
Aiden Markram,Overseas,Batsman,5000000,UNSOLD,NONE,2020
Anaru Kitchen,Overseas,All-Rounder,5000000,UNSOLD,NONE,2020
Jeevan Mendis,Overseas,All-Rounder,5000000,UNSOLD,NONE,2020
Daryl Mitchell,Overseas,All-Rounder,5000000,UNSOLD,NONE,2020
Angelo Perera,Overseas,All-Rounder,5000000,UNSOLD,NONE,2020
Seekkuge Prasanna,Overseas,All-Rounder,5000000,UNSOLD,NONE,2020
Rovman Powell,Overseas,All-Rounder,5000000,UNSOLD,NONE,2020
Sabbir Rahaman,Overseas,All-Rounder,5000000,UNSOLD,NONE,2020
Raymon Reifer,Overseas,All-Rounder,5000000,UNSOLD,NONE,2020
Ben Dunk,Overseas,Wicket Keeper,5000000,UNSOLD,NONE,2020
Mohammad Saifuddin,Overseas,All-Rounder,5000000,UNSOLD,NONE,2020
Tom Latham,Overseas,Wicket Keeper,5000000,UNSOLD,NONE,2020
Ben McDermott,Overseas,Wicket Keeper,5000000,UNSOLD,NONE,2020
